Condition,EEG_Band,Feature,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
All_Clean,Theta,Relative_Power,-0.06559857922686513,0.8668419611989879,-0.19999999999999998,0.6059012741795533
All_Clean,Alpha_Mu,Relative_Power,0.46891642010243206,0.20291445443772407,0.3666666666666667,0.33173980143301507
All_Clean,Beta,Relative_Power,-0.3634717159879117,0.33629173955905073,-0.03333333333333333,0.932156735540504
All_Clean,Gamma,Relative_Power,-0.4514633881221871,0.22252637222884472,-0.5833333333333334,0.09918581647988323
Theta_Clean,Theta,Relative_Power,-0.09375832490501321,0.8103907752369466,-0.18333333333333335,0.6368198117628943
Theta_Clean,Alpha_Mu,Relative_Power,0.19260337399602093,0.6195594802716411,0.18333333333333335,0.6368198117628943
Theta_Clean,Beta,Relative_Power,0.0707833650924201,0.8564020198474126,0.2833333333333333,0.46003032896571994
Theta_Clean,Gamma,Relative_Power,-0.5579663320159384,0.11848618000421082,-0.5666666666666667,0.11163298761149111
Alpha_Mu_Clean,Theta,Relative_Power,0.6815713608651421,0.043191146974127306,0.6166666666666666,0.07692880993776309
Alpha_Mu_Clean,Alpha_Mu,Relative_Power,-0.21137762344129435,0.5850978020594406,-0.31666666666666665,0.4063970144863861
Alpha_Mu_Clean,Beta,Relative_Power,-0.24575724605764868,0.5238656599488999,-0.09999999999999999,0.797971695234851
Alpha_Mu_Clean,Gamma,Relative_Power,-0.5467670492391241,0.12766987116920048,-0.6833333333333333,0.04244227208707231
Beta_Clean,Theta,Relative_Power,-0.11049770867367209,0.7771737363527284,-0.16666666666666669,0.668231040071504
Beta_Clean,Alpha_Mu,Relative_Power,0.09774321768855983,0.8024576344354178,0.11666666666666665,0.7650079429261462
Beta_Clean,Beta,Relative_Power,0.09040984511023306,0.8170685390585997,0.11666666666666665,0.7650079429261462
Beta_Clean,Gamma,Relative_Power,-0.24851494398050802,0.5190666459620824,-0.43333333333333335,0.2439524358800516
Gamma_Clean,Theta,Relative_Power,-0.3118586519879203,0.4139495755959934,-0.33473096350228926,0.37859496128192693
Gamma_Clean,Alpha_Mu,Relative_Power,0.3430873027691076,0.36604702052480753,0.22594340036404525,0.5588463751684138
Gamma_Clean,Beta,Relative_Power,-0.0030750635103168333,0.9937355814216264,0.1924703040138163,0.6198061390079386
Gamma_Clean,Gamma,Relative_Power,-0.2716958640862069,0.4794332030100443,-0.42678197846541877,0.2519566902874007
